index;Date;Tile
560;20230924;48PXR
562;20230919;48PXR
564;20230914;48PXR
566;20230909;48PXR
568;20230904;48PXR
570;20230729;48PXR
572;20230724;48PXR
574;20230719;48PXR
576;20230714;48PXR
578;20230709;48PXR
580;20230704;48PXR
582;20230328;48PXR
584;20230323;48PXR
586;20230318;48PXR
588;20230313;48PXR
594;20230530;48PXR
596;20230525;48PXR
598;20230520;48PXR
600;20230515;48PXR
602;20230510;48PXR
604;20230505;48PXR
620;20231214;48PVT
621;20231211;48PVT
622;20231209;48PVT
623;20231206;48PVT
624;20231204;48PVT
626;20230227;48PVT
627;20230224;48PVT
629;20230219;48PVT
630;20230217;48PVT
631;20230214;48PVT
633;20230209;48PVT
634;20230207;48PVT
635;20230204;48PVT
639;20230528;48PVT
641;20230523;48PVT
643;20230518;48PVT
645;20230513;48PVT
647;20230508;48PVT
649;20230503;48PVT
651;20231027;48PVT
653;20231022;48PVT
657;20231015;48PVT
659;20231010;48PVT
661;20231005;48PVT
663;20231129;48PVT
665;20231124;48PVT
669;20231109;48PVT
673;20231101;48PVT
677;20230724;48PVT
679;20230719;48PVT
681;20230714;48PVT
683;20230709;48PVT
685;20230704;48PVT
687;20230629;48PVT
689;20230624;48PVT
691;20230619;48PVT
693;20230614;48PVT
695;20230609;48PVT
697;20230604;48PVT
699;20230130;48PVT
700;20230128;48PVT
701;20230125;48PVT
703;20230120;48PVT
704;20230118;48PVT
705;20230115;48PVT
707;20230110;48PVT
708;20230108;48PVT
709;20230105;48PVT
711;20230329;48PVT
713;20230324;48PVT
715;20230319;48PVT
717;20230314;48PVT
719;20230309;48PVT
723;20230826;48PVT
725;20230821;48PVT
727;20230816;48PVT
729;20230811;48PVT
731;20230806;48PVT
733;20230801;48PVT
735;20230925;48PVT
737;20230920;48PVT
739;20230915;48PVT
741;20230910;48PVT
743;20230905;48PVT
745;20230428;48PVT
747;20230423;48PVT
749;20230418;48PVT
751;20230413;48PVT
753;20230408;48PVT
755;20230403;48PVT
756;20230226;48PYR
757;20230221;48PYR
758;20230216;48PYR
759;20230211;48PYR
760;20230206;48PYR
761;20230201;48PYR
762;20230527;48PYR
763;20230522;48PYR
764;20230517;48PYR
765;20230512;48PYR
766;20230507;48PYR
767;20230502;48PYR
768;20230726;48PYR
769;20230721;48PYR
770;20230716;48PYR
771;20230711;48PYR
772;20230706;48PYR
773;20230701;48PYR
774;20231118;48PYR
775;20231108;48PYR
776;20231103;48PYR
777;20231208;48PYR
778;20231203;48PYR
779;20230328;48PYR
780;20230323;48PYR
781;20230318;48PYR
782;20230313;48PYR
783;20230308;48PYR
784;20230303;48PYR
785;20230626;48PYR
786;20230621;48PYR
787;20230616;48PYR
788;20230611;48PYR
789;20230606;48PYR
790;20230601;48PYR
791;20230830;48PYR
792;20230825;48PYR
793;20230820;48PYR
794;20230815;48PYR
795;20230810;48PYR
796;20230805;48PYR
797;20230929;48PYR
798;20230924;48PYR
799;20230919;48PYR
800;20230919;48PYR
801;20230914;48PYR
802;20230909;48PYR
803;20230904;48PYR
804;20231029;48PYR
805;20231024;48PYR
806;20231019;48PYR
807;20231014;48PYR
808;20231009;48PYR
809;20231004;48PYR
810;20230427;48PYR
811;20230422;48PYR
812;20230412;48PYR
813;20230407;48PYR
814;20230402;48PYR
815;20230127;48PYR
816;20230122;48PYR
817;20230117;48PYR
818;20230112;48PYR
819;20230112;48PYR
820;20230107;48PYR
821;20230102;48PYR
822;20230102;48PYR
824;20230525;48PWR
826;20230515;48PWR
828;20230505;48PWR
830;20230823;48PWR
832;20230813;48PWR
834;20230803;48PWR
836;20230724;48PWR
838;20230714;48PWR
840;20230704;48PWR
842;20230420;48PWR
844;20230410;48PWR
846;20231027;48PWR
848;20231017;48PWR
850;20231007;48PWR
872;20231201;48PWR
874;20231121;48PWR
876;20231106;48PWR
878;20230629;48PWR
880;20230619;48PWR
882;20230609;48PWR
884;20230326;48PWR
886;20230316;48PWR
890;20230927;48PWR
892;20230917;48PWR
894;20230907;48PWR
896;20230425;48PWU
898;20230415;48PWU
900;20230405;48PWU
901;20230224;48PWU
902;20230219;48PWU
903;20230214;48PWU
904;20230209;48PWU
905;20230204;48PWU
907;20230724;48PWU
909;20230714;48PWU
911;20230704;48PWU
913;20230624;48PWU
915;20230614;48PWU
917;20230604;48PWU
918;20231126;48PWU
920;20231116;48PWU
924;20230326;48PWU
926;20230316;48PWU
928;20230306;48PWU
929;20230301;48PWU
930;20230530;48PWU
932;20230520;48PWU
934;20230510;48PWU
936;20230927;48PWU
938;20230917;48PWU
940;20230907;48PWU
942;20231027;48PWU
944;20231017;48PWU
946;20231007;48PWU
948;20230828;48PWU
950;20230818;48PWU
952;20230808;48PWU
954;20230130;48PWU
955;20230125;48PWU
956;20230120;48PWU
957;20230115;48PWU
958;20230110;48PWU
959;20230105;48PWU
960;20231216;48PWU
961;20231211;48PWU
962;20231201;48PWU
964;20230622;48PUV
966;20230612;48PUV
968;20230602;48PUV
970;20230222;48PUV
