Date;Tile;Online
20191129;48PXT;0.0
20191127;48PXT;0.0
20191124;48PXT;0.0
20191122;48PXT;0.0
20191119;48PXT;0.0
20191119;48PXT;0.0
20191117;48PXT;0.0
20191114;48PXT;0.0
20191112;48PXT;0.0
20191109;48PXT;0.0
20191107;48PXT;0.0
20191104;48PXT;0.0
